id	title	tag	borderList	approveList	negativeList
AU	Австралия	UN	MUR, EUA
AT	Австрия	UN	CZ, SK, HU, SI, IT, LI, CH, DE
AZ	Азербайджан	UN	RU, GE, AM, IR
AL	Албания	UN	RS, ME, MK, GR, KOS
DZ	Алжир	UN	MA, MR, ML, NE, LY, TN
AO	Ангола	UN	NA, CD, ZM, CG
AD	Андорра	UN	FR, ES
AG	Антигуа и Барбуда	UN
AR	Аргентина	UN	CL, BO, PY, BR, UY
AM	Армения	UNNA	AZ, IR, TR, GE, NKR		PK
AF	Афганистан	UN	PK, TM, UZ, TJ, CN, IN
GF	Французская Гвиана	UN	BR, SR
BS	Багамы	UN
BD	Бангладеш	UN	MM, IN
BB	Барбадос	UN
BH	Бахрейн	UN	SA
BZ	Белиз	UN	MX, GT
BY	Белоруссия	UN	RU, UA, PL, LT, LV
BE	Бельгия	UN	NL, DE, LU, FR
BJ	Бенин	UN	BF, NE, NG, TG
BG	Болгария	UN	GR, TR, RS, MK, RO
BO	Боливия	UN	BR, PY, AR, CL, PE
BA	Босния и Герцеговина	UN	HR, RS, ME
BW	Ботсвана	UN	ZA, NA, ZM, ZW
BR	Бразилия	UN	SR, GY, VE, CO, PE, BO, PY, AR, UY
BN	Бруней	UN	MY
BF	Буркина-Фасо	UN	ML, NE, BJ, TG, GH, CI
BI	Бурунди	UN	RW, CD, TZ
BT	Бутан	UN	CN, IN
VU	Вануату	UN
VA	Ватикан	UN	IT
GB	Великобритания	UN	IE
HU	Венгрия	UN	UA, RO, SK, RS, HR, SI, AT
VE	Венесуэла	UN	GY, BR, CO
VN	Вьетнам	UN	LA, KH, CN
GA	Габон	UN	CG, CM, GQ
HT	Гаити	UN	DO
GY	Гайана	UN	VE, BR, SR
GM	Гамбия	UN	SN
GH	Гана	UN	CI, BF, TG
GT	Гватемала	UN	BZ, SV, HN, MX
GN	Гвинея	UN	SN, ML, CI, LR, SL, GW
GW	Гвинея-Бисау	UN	SN, GN
DE	Германия	UN	DK, PL, CZ, AT, CH, FR, LU, BE, NL
HN	Гондурас	UN	NI, SV, GT
GD	Гренада	UN
GR	Греция	UN	AL, MK, BG, TR
GE	Грузия	UN	AM, TR, AZ, RU
DK	Дания	UN	DE
CD	Демократическая Республика Конго	UN	CG, CF, SS, UG, RW, BI, TZ, ZM, AO
DJ	Джибути	UN	ER, ET, SO
DM	Доминика	UN
DO	Доминиканская Республика	UN	HT
EG	Египет	UN	IL, SD, LY
ZM	Замбия	UN	CD, TZ, MW, MZ, ZM, BW, NA, AO
ZW	Зимбабве	UN	ZA, ZM, BW, MZ
IL	Израиль	UNNA	LB, SY, JO, EG		DZ, AF, BD, BN, IQ, YE, KP, KW, LB, LY, MY, AE, PK, SA, SY, SO, SD, IR, TD
